#snapshot	cut	isrf	inclin	wav	flam
1611	POST	N	90	850	2.48731282544e-11
1611	POST	N	90	1300	3.64665650857e-12
1611	POST	Y	0	70	9.86461543137e-10
1611	POST	Y	0	250	1.41990566843e-09
1611	POST	Y	0	350	6.8198666639e-10
1611	POST	Y	0	450	3.51295666832e-10
1611	POST	Y	0	850	4.08008007114e-11
1611	POST	Y	0	1300	6.88027627469e-12
1611	POST	Y	60	70	2.36192552496e-09
1611	POST	Y	60	250	1.33357143947e-09
1611	POST	Y	60	350	6.20845834298e-10
1611	POST	Y	60	450	3.15790310297e-10
1611	POST	Y	60	850	3.49284292329e-11
1611	POST	Y	60	1300	5.52681055831e-12
1611	POST	Y	90	70	1.34669410144e-09
1611	POST	Y	90	250	1.18652898027e-09
1611	POST	Y	90	350	5.5798984804e-10
1611	POST	Y	90	450	2.83671294892e-10
1611	POST	Y	90	850	2.96620657872e-11
1611	POST	Y	90	1300	4.18821489544e-12
1686	NOT	N	0	70	1.00670351041e-06
1686	NOT	N	0	250	5.54202711552e-08
1686	NOT	N	0	350	1.64206695563e-08
1686	NOT	N	0	450	6.41074222406e-09
1686	NOT	N	0	850	4.55363445892e-10
1686	NOT	N	0	1300	6.24472227811e-11
1686	NOT	N	60	70	1.31816064776e-06
1686	NOT	N	60	250	5.36804022749e-08
1686	NOT	N	60	350	1.5382389731e-08
1686	NOT	N	60	450	5.89207114725e-09
1686	NOT	N	60	850	3.99699660398e-10
1686	NOT	N	60	1300	5.19155046796e-11
1686	NOT	N	90	70	1.24504967357e-06
1686	NOT	N	90	250	5.13149820266e-08
1686	NOT	N	90	350	1.45029643316e-08
1686	NOT	N	90	450	5.49396325887e-09
1686	NOT	N	90	850	3.57971579416e-10
1686	NOT	N	90	1300	4.38639033874e-11
1686	NOT	Y	0	70	1.01020311031e-06
1686	NOT	Y	0	250	5.65991635638e-08
1686	NOT	Y	0	350	1.67577767398e-08
1686	NOT	Y	0	450	6.53323892513e-09
1686	NOT	Y	0	850	4.61936806618e-10
1686	NOT	Y	0	1300	6.31684615623e-11
1686	NOT	Y	60	70	1.32164336455e-06
1686	NOT	Y	60	250	5.48505381924e-08
1686	NOT	Y	60	350	1.57168514665e-08
1686	NOT	Y	60	450	6.01356194469e-09
1686	NOT	Y	60	850	4.06182534557e-10
1686	NOT	Y	60	1300	5.2600178989e-11
1686	NOT	Y	90	70	1.24818015336e-06
1686	NOT	Y	90	250	5.24801129561e-08
1686	NOT	Y	90	350	1.48352044707e-08
1686	NOT	Y	90	450	5.61435521903e-09
1686	NOT	Y	90	850	3.64340909166e-10
1686	NOT	Y	90	1300	4.45234624441e-11
1686	POST	N	0	70	9.98818825674e-07
1686	POST	N	0	250	4.58874244841e-08
1686	POST	N	0	350	1.3226181273e-08
1686	POST	N	0	450	5.1058373992e-09
1686	POST	N	0	850	3.67234478387e-10
1686	POST	N	0	1300	5.25203768464e-11
1686	POST	N	60	70	1.31247477017e-06
1686	POST	N	60	250	4.41436645085e-08
1686	POST	N	60	350	1.21874791099e-08
1686	POST	N	60	450	4.58713431784e-09
1686	POST	N	60	850	3.11579783467e-10
1686	POST	N	60	1300	4.19899793844e-11
1686	POST	N	90	70	1.2386515758e-06
1686	POST	N	90	250	4.17710500124e-08
1686	POST	N	90	350	1.13063044836e-08
1686	POST	N	90	450	4.18843483374e-09
1686	POST	N	90	850	2.69823720757e-10
1686	POST	N	90	1300	3.39356928965e-11
1686	POST	Y	0	70	9.92323898154e-07
1686	POST	Y	0	250	4.59110399133e-08
1686	POST	Y	0	350	1.31839899904e-08
1686	POST	Y	0	450	5.08803368313e-09
1686	POST	Y	0	850	3.69995986127e-10
1686	POST	Y	0	1300	5.28618171939e-11
1686	POST	Y	60	70	1.30314234538e-06
1686	POST	Y	60	250	4.41591704244e-08
1686	POST	Y	60	350	1.21446579647e-08
1686	POST	Y	60	450	4.56933999581e-09
1686	POST	Y	60	850	3.13909554247e-10
1686	POST	Y	60	1300	4.22562173635e-11
1686	POST	Y	90	70	1.22970549567e-06
1686	POST	Y	90	250	4.17804230875e-08
1686	POST	Y	90	350	1.12648705338e-08
1686	POST	Y	90	450	4.17074392867e-09
1686	POST	Y	90	850	2.71797551212e-10
1686	POST	Y	90	1300	3.41501877178e-11
